stock_code,ROE_AVG,ROA2,CATOASSETS,ASSETSTOEQUITY,CURRENT,report_date
000158.SZ,-2.2649,-0.5621,63.0677,2.7651,1.1503,2024-03-31
000159.SZ,0.3359,0.5018,52.4683,1.4578,1.9447,2024-03-31
000166.SZ,1.3725,,,4.7957,,2024-03-31
000301.SZ,0.6945,0.6556,20.5076,5.6283,0.4892,2024-03-31
000333.SZ,5.3671,1.9197,58.5699,2.7083,1.1483,2024-03-31
000338.SZ,3.2062,1.2769,59.8632,2.9032,1.3763,2024-03-31
000400.SZ,2.1896,1.2946,81.4288,1.8693,1.8103,2024-03-31
000401.SZ,-3.9018,-1.9309,24.4055,2.0463,0.9752,2024-03-31
000402.SZ,-0.7829,0.2418,63.8594,3.5478,3.2072,2024-03-31
000403.SZ,1.6281,1.4672,39.4814,1.1555,4.0064,2024-03-31
000404.SZ,2.0769,0.8617,76.8059,2.8825,1.2667,2024-03-31
000407.SZ,0.6892,0.9498,26.8369,2.1129,0.6707,2024-03-31
000408.SZ,3.9706,4.0302,21.6829,1.0494,5.4505,2024-03-31
000409.SZ,3.2406,1.885,75.9837,1.4642,2.5523,2024-03-31
000410.SZ,-3.9651,-1.0609,55.3609,3.2814,1.1109,2024-03-31
000411.SZ,2.4816,1.4064,88.5645,3.2402,1.3879,2024-03-31
000413.SZ,-1.4247,-0.4123,54.535,2.6825,0.9049,2024-03-31
000415.SZ,1.2962,1.1872,4.804,5.6193,0.2654,2024-03-31
000416.SZ,-0.2216,-0.1608,73.2801,1.128,6.78,2024-03-31
000417.SZ,2.2635,1.3525,43.8152,2.2494,1.0173,2024-03-31
000419.SZ,1.1782,1.4064,44.9984,1.4849,2.2462,2024-03-31
000420.SZ,0.4798,0.6547,24.2043,2.4806,0.507,2024-03-31
000421.SZ,0.1875,0.1736,62.8528,4.16,1.0227,2024-03-31
000422.SZ,1.9939,1.2658,28.1904,2.613,0.6856,2024-03-31
000423.SZ,3.2549,2.8402,79.0449,1.2162,4.7607,2024-03-31
000425.SZ,2.8085,1.3451,69.257,2.7783,1.3453,2024-03-31
000426.SZ,3.4816,2.6289,10.7106,1.6681,0.4086,2024-03-31
000428.SZ,-2.7781,-0.6602,20.3721,3.9224,0.3244,2024-03-31
000429.SZ,4.1738,3.5618,23.8202,1.6589,3.1611,2024-03-31
000430.SZ,-5.4965,-1.192,2.4285,3.1355,0.1177,2024-03-31
000488.SZ,0.3488,0.4297,36.9637,3.8419,0.5819,2024-03-31
000498.SZ,1.0747,0.393,70.6744,4.1686,1.1667,2024-03-31
000501.SZ,1.2486,0.7944,20.036,2.8761,0.4712,2024-03-31
000503.SZ,-2.8839,-2.0338,80.5774,1.3698,2.991,2024-03-31
000504.SZ,-1.0842,-0.3163,81.4376,2.0253,1.6911,2024-03-31
000505.SZ,0.7164,0.6197,71.2054,1.9571,1.9515,2024-03-31
000506.SZ,-4.579,-1.1495,9.4715,1.8162,0.2295,2024-03-31
000507.SZ,0.8593,1.1145,28.4759,2.1232,1.1744,2024-03-31
000509.SZ,0.2073,0.5053,74.89,3.5288,1.0686,2024-03-31
000510.SZ,-5.0936,-2.3384,30.5885,1.9143,0.7888,2024-03-31
000513.SZ,4.2433,3.1501,68.1954,1.6315,2.0622,2024-03-31
000514.SZ,-0.7007,-0.2749,66.3561,1.8586,1.874,2024-03-31
000516.SZ,-2.7181,-0.7831,14.9965,2.9551,0.4267,2024-03-31
000517.SZ,4.6556,1.212,94.4732,4.1466,1.3205,2024-03-31
000518.SZ,-0.6179,-0.5325,77.4342,1.2825,4.3985,2024-03-31
000519.SZ,-0.1303,-0.1152,66.7427,1.4423,2.6157,2024-03-31
000520.SZ,-1.4031,-0.9376,33.9752,1.4058,1.4406,2024-03-31
000521.SZ,2.635,0.6689,77.1362,3.3936,1.1185,2024-03-31
000523.SZ,1.5379,1.213,52.8386,2.1407,3.5928,2024-03-31
000524.SZ,1.1431,0.7774,50.2686,1.5707,1.6074,2024-03-31
000525.SZ,2.2458,0.7493,48.0924,9.5224,0.6637,2024-03-31
000526.SZ,7.9421,2.2039,36.509,5.5898,0.5861,2024-03-31
000528.SZ,2.9673,1.4455,71.1122,2.5322,1.4999,2024-03-31
000529.SZ,0.4352,0.0907,57.4967,2.2218,1.6348,2024-03-31
000530.SZ,0.9553,0.4958,64.3985,2.5389,1.2986,2024-03-31
000531.SZ,0.4777,0.5189,21.9439,2.8269,0.8608,2024-03-31
000532.SZ,7.7303,6.4353,14.8533,1.5737,0.5489,2024-03-31
000533.SZ,1.792,1.0785,75.577,2.9068,1.3302,2024-03-31
000534.SZ,5.5346,2.6068,29.4303,2.5876,1.1411,2024-03-31
000536.SZ,-11.1524,-2.8168,22.016,3.3062,0.4171,2024-03-31
000537.SZ,0.9687,0.5595,26.5711,3.4157,1.0927,2024-03-31
000538.SZ,4.1786,3.3413,68.703,1.3671,2.7658,2024-03-31
000539.SZ,0.5726,0.6308,20.9626,4.8295,0.7517,2024-03-31
000541.SZ,1.3242,0.731,52.0239,1.6954,1.3829,2024-03-31
000543.SZ,3.2214,1.592,13.6155,2.9324,0.5859,2024-03-31
000544.SZ,5.2467,1.7641,18.5992,4.027,1.2544,2024-03-31
000545.SZ,-0.9856,-0.4748,29.3047,1.8347,0.687,2024-03-31
000546.SZ,0.5532,0.1251,36.1278,1.5459,1.5336,2024-03-31
000547.SZ,-2.5863,-1.5536,56.2375,1.6562,1.6043,2024-03-31
000548.SZ,1.7782,1.6695,59.3078,1.3914,2.965,2024-03-31
000550.SZ,4.5542,0.817,64.2491,2.7156,1.0594,2024-03-31
000551.SZ,2.6338,1.791,66.271,1.839,1.5652,2024-03-31
000552.SZ,3.2712,1.958,38.0424,1.8211,1.9877,2024-03-31
000553.SZ,-1.0444,0.1469,52.9324,2.5252,1.6059,2024-03-31
000554.SZ,1.9357,1.5257,40.4959,1.7174,1.204,2024-03-31
000555.SZ,-0.9117,-0.6948,77.3453,1.8656,1.6985,2024-03-31
000557.SZ,1.4326,1.3908,39.7705,1.069,7.021,2024-03-31
000558.SZ,2.4142,2.4264,18.1045,1.5327,1.1555,2024-03-31
000559.SZ,3.0961,1.4875,59.7706,2.2318,1.2936,2024-03-31
000560.SZ,0.2675,0.6015,34.6056,3.3437,0.6975,2024-03-31
000561.SZ,-3.1483,-1.5552,76.4443,2.0544,1.6815,2024-03-31
000563.SZ,2.1282,,,1.4309,,2024-03-31
000564.SZ,-1.1078,-0.1687,18.3125,2.2566,1.0615,2024-03-31
